timestamp,index,utilization_gpu,memory_used_mib,memory_total_mib
2026-07-15T08:05:06+00:00,1, 0, 3, 97871
2026-07-15T08:05:11+00:00,0, 37, 4695, 97871
2026-07-15T08:05:11+00:00,1, 0, 3, 97871
2026-07-15T08:05:16+00:00,0, 22, 4695, 97871
2026-07-15T08:05:16+00:00,1, 0, 3, 97871
2026-07-15T08:05:21+00:00,0, 27, 4695, 97871
2026-07-15T08:05:21+00:00,1, 0, 3, 97871
2026-07-15T08:05:27+00:00,0, 30, 4695, 97871
2026-07-15T08:05:27+00:00,1, 0, 3, 97871
2026-07-15T08:05:32+00:00,0, 30, 4695, 97871
2026-07-15T08:05:32+00:00,1, 0, 3, 97871
2026-07-15T08:05:37+00:00,0, 0, 4695, 97871
2026-07-15T08:05:37+00:00,1, 0, 3, 97871
2026-07-15T08:05:42+00:00,0, 0, 4695, 97871
2026-07-15T08:05:42+00:00,1, 0, 3, 97871
2026-07-15T08:05:47+00:00,0, 0, 4695, 97871
2026-07-15T08:05:47+00:00,1, 0, 3, 97871
2026-07-15T08:05:52+00:00,0, 0, 4695, 97871
2026-07-15T08:05:52+00:00,1, 0, 3, 97871
2026-07-15T08:05:57+00:00,0, 5, 4695, 97871
2026-07-15T08:05:57+00:00,1, 0, 3, 97871
2026-07-15T08:06:02+00:00,0, 33, 4695, 97871
2026-07-15T08:06:02+00:00,1, 0, 3, 97871
2026-07-15T08:06:07+00:00,0, 39, 4695, 97871
2026-07-15T08:06:07+00:00,1, 0, 3, 97871
2026-07-15T08:06:12+00:00,0, 0, 4695, 97871
2026-07-15T08:06:12+00:00,1, 0, 3, 97871
2026-07-15T08:06:17+00:00,0, 0, 4695, 97871
2026-07-15T08:06:17+00:00,1, 0, 3, 97871
2026-07-15T08:06:23+00:00,0, 6, 4695, 97871
2026-07-15T08:06:23+00:00,1, 0, 3, 97871
2026-07-15T08:06:28+00:00,0, 0, 4695, 97871
2026-07-15T08:06:28+00:00,1, 0, 3, 97871
2026-07-15T08:06:33+00:00,0, 0, 4695, 97871
2026-07-15T08:06:33+00:00,1, 0, 3, 97871
2026-07-15T08:06:38+00:00,0, 4, 4695, 97871
2026-07-15T08:06:38+00:00,1, 0, 3, 97871
2026-07-15T08:06:43+00:00,0, 36, 4695, 97871
2026-07-15T08:06:43+00:00,1, 0, 3, 97871
2026-07-15T08:06:48+00:00,0, 0, 4695, 97871
2026-07-15T08:06:48+00:00,1, 0, 3, 97871
2026-07-15T08:06:53+00:00,0, 30, 4695, 97871
2026-07-15T08:06:53+00:00,1, 0, 3, 97871
2026-07-15T08:06:58+00:00,0, 0, 4695, 97871
2026-07-15T08:06:58+00:00,1, 0, 3, 97871
2026-07-15T08:07:03+00:00,0, 3, 4695, 97871
2026-07-15T08:07:03+00:00,1, 0, 3, 97871
2026-07-15T08:07:08+00:00,0, 35, 4695, 97871
2026-07-15T08:07:08+00:00,1, 0, 3, 97871
2026-07-15T08:07:13+00:00,0, 4, 4695, 97871
2026-07-15T08:07:13+00:00,1, 0, 3, 97871
2026-07-15T08:07:18+00:00,0, 6, 4695, 97871
2026-07-15T08:07:18+00:00,1, 0, 3, 97871
2026-07-15T08:07:24+00:00,0, 5, 4695, 97871
2026-07-15T08:07:24+00:00,1, 0, 3, 97871
2026-07-15T08:07:29+00:00,0, 5, 4695, 97871
2026-07-15T08:07:29+00:00,1, 0, 3, 97871
2026-07-15T08:07:34+00:00,0, 0, 4695, 97871
2026-07-15T08:07:34+00:00,1, 0, 3, 97871
2026-07-15T08:07:39+00:00,0, 0, 4695, 97871
2026-07-15T08:07:39+00:00,1, 0, 3, 97871
2026-07-15T08:07:44+00:00,0, 0, 4695, 97871
2026-07-15T08:07:44+00:00,1, 0, 3, 97871
2026-07-15T08:07:49+00:00,0, 0, 4695, 97871
2026-07-15T08:07:49+00:00,1, 0, 3, 97871
2026-07-15T08:07:54+00:00,0, 0, 4695, 97871
2026-07-15T08:07:54+00:00,1, 0, 3, 97871
2026-07-15T08:07:59+00:00,0, 42, 4695, 97871
2026-07-15T08:07:59+00:00,1, 0, 3, 97871
2026-07-15T08:08:04+00:00,0, 0, 4695, 97871
2026-07-15T08:08:04+00:00,1, 0, 3, 97871
2026-07-15T08:08:09+00:00,0, 4, 4695, 97871
2026-07-15T08:08:09+00:00,1, 0, 3, 97871
2026-07-15T08:08:15+00:00,0, 39, 4695, 97871
2026-07-15T08:08:15+00:00,1, 0, 3, 97871
2026-07-15T08:08:20+00:00,0, 0, 4695, 97871
2026-07-15T08:08:20+00:00,1, 0, 3, 97871
2026-07-15T08:08:25+00:00,0, 0, 4695, 97871
2026-07-15T08:08:25+00:00,1, 0, 3, 97871
2026-07-15T08:08:30+00:00,0, 0, 4695, 97871
